Instance,Gecode w/out SB,Gecode + SB,Chuffed w/out SB,Chuffed + SB
1,0.2127370834350586,0.2095649242401123,0.15885305404663086,0.16135907173156738
2,0.21811795234680176,0.21730303764343262,0.1655440330505371,0.16990208625793457
3,0.21302175521850586,0.21148395538330078,0.17452383041381836,0.17085599899291992
4,0.2134702205657959,0.21226096153259277,0.16302490234375,0.16759681701660156
5,0.21432900428771973,0.2163538932800293,0.16404080390930176,0.1709439754486084
6,0.21504712104797363,0.2230830192565918,0.1644899845123291,0.17705607414245605
7,0.21203303337097168,0.21427512168884277,0.16434311866760254,0.17517304420471191
8,0.2282862663269043,0.21632599830627441,0.1669158935546875,0.17785096168518066
9,0.21573781967163086,0.21311521530151367,0.16599202156066895,0.18349623680114746
10,0.214979887008667,0.2731819152832031,0.17141485214233398,0.3373990058898926
11,H,H,0.18721604347229004,0.6175961494445801
12,0.41058897972106934,0.403209924697876,0.3910849094390869,0.36238598823547363
13,0.2817418575286865,0.32753825187683105,0.17901992797851562,0.5878279209136963
14,0.26488566398620605,0.37923622131347656,0.22597074508666992,0.6835529804229736
15,H,0.4155116081237793,0.18273615837097168,0.6855177879333496
16,H,H,0.554030179977417,1.196291208267212
17,H,H,0.8897342681884766,0.8651840686798096
18,H,H,1.9744410514831543,1.0788052082061768
19,H,H,4.908121824264526,13.892527103424072
20,H,H,4.503616809844971,1.2786459922790527
21,H,H,3.342801332473755,2.361104965209961
22,H,H,4.331266164779663,5.136722087860107
23,H,H,1.9001739025115967,3.185116767883301
24,H,H,1.7251508235931396,1.2618029117584229
25,H,H,39.187400817871094,8.238937854766846
26,H,H,5.195019006729126,1.7773771286010742
27,H,H,2.0606627464294434,1.6603538990020752
28,H,H,2.3154258728027344,1.5987341403961182
29,H,H,4.606151819229126,1.7082679271697998
30,H,H,32.51243805885315,4.643172025680542
31,H,H,2.705120086669922,0.7628669738769531
32,H,H,117.2981870174408,58.318455934524536
33,H,H,2.4578969478607178,2.3081769943237305
34,H,H,1.9998719692230225,3.937803030014038
35,H,H,2.609700918197632,1.405155897140503
36,H,H,4.592621803283691,3.8345301151275635
37,H,H,7.331439018249512,55.954338788986206
38,H,H,58.184767961502075,7.066401958465576
39,H,H,20.259281158447266,3.3593552112579346
40,H,H,H,H
