Instance,h_min,h,time,time_SAT3D,h_SAT3D
1,8,8,0.06101512908935547,0.3290369510650635,8
2,9,9,0.08820295333862305,0.6678321361541748,9
3,10,10,0.13040709495544434,1.384232997894287,10
4,11,11,0.1918504238128662,2.722134828567505,11
5,12,12,0.26122379302978516,4.277865886688232,12
6,13,13,0.36061906814575195,7.511106729507446,13
7,14,14,0.3809230327606201,9.681861877441406,14
8,15,15,0.4997429847717285,13.96359896659851,15
9,16,16,0.6219208240509033,17.82657289505005,16
10,17,17,0.8615827560424805,33.458899974823,17
11,18,18,2.341236114501953,TIMEOUT,DNF
12,19,19,1.4527411460876465,168.18927812576294,19
13,20,20,1.394968032836914,139.450345993042,20
14,21,21,1.9182331562042236,TIMEOUT,DNF
15,22,22,1.9001219272613525,283.87311267852783,22
16,23,23,5.294116973876953,TIMEOUT,DNF
17,24,24,3.7352898120880127,TIMEOUT,DNF
18,25,25,3.0670931339263916,TIMEOUT,DNF
19,26,26,17.45846199989319,TIMEOUT,DNF
20,27,27,4.724967002868652,TIMEOUT,DNF
21,28,28,4.753607749938965,TIMEOUT,DNF
22,29,29,25.173341035842896,TIMEOUT,DNF
23,30,30,10.027963876724243,TIMEOUT,DNF
24,31,31,4.338954925537109,TIMEOUT,DNF
25,32,32,16.02520990371704,TIMEOUT,DNF
26,33,33,8.793869018554688,TIMEOUT,DNF
27,34,34,5.450192928314209,TIMEOUT,DNF
28,35,35,15.110121965408325,TIMEOUT,DNF
29,36,36,7.799665927886963,TIMEOUT,DNF
30,37,DNF,TIMEOUT,TIMEOUT,DNF
31,38,38,6.222880840301514,TIMEOUT,DNF
32,39,DNF,TIMEOUT,TIMEOUT,DNF
33,40,40,8.680678844451904,TIMEOUT,DNF
34,40,40,6.401514053344727,TIMEOUT,DNF
35,40,40,17.382309198379517,TIMEOUT,DNF
36,40,40,14.505700826644897,TIMEOUT,DNF
37,60,60,212.95853519439697,TIMEOUT,DNF
38,60,DNF,TIMEOUT,TIMEOUT,DNF
39,60,60,74.3921070098877,TIMEOUT,DNF
40,90,DNF,TIMEOUT,TIMEOUT,DNF
