Instance,h_min,h,time,h_fail,time_fail,h_restart100,time_restart100,h_restart5000,time_restart5000
1,8,8,0.1640808582305908,8,0.1584692001342773,8,0.16403627395629883,8,0.164590835571289
2,9,9,0.1572608947753906,9,0.1610329151153564,9,0.16723418235778809,9,0.1629450321197509
3,10,10,0.1628890037536621,10,0.1619699001312255,10,0.1724097728729248,10,0.1644859313964843
4,11,11,0.1617531776428222,11,0.1646709442138672,11,0.16373395919799805,11,0.1727139949798584
5,12,12,0.1624069213867187,12,0.1658830642700195,12,0.16750407218933105,12,0.1732008457183838
6,13,13,0.1735479831695556,13,0.1673240661621093,13,0.16862916946411133,13,0.1700789928436279
7,14,14,0.1647369861602783,14,0.1997230052947998,14,0.16782212257385254,14,0.1714999675750732
8,15,15,0.1678619384765625,15,0.1710758209228515,15,0.17447924613952637,15,0.1742100715637207
9,16,16,0.1685707569122314,16,0.1673059463500976,16,0.17444872856140137,16,0.1724889278411865
10,17,17,0.1739759445190429,17,0.1776738166809082,17,0.17642593383789062,17,0.1770579814910888
11,18,18,0.1834900379180908,18,0.6927230358123779,18,0.18696212768554688,18,0.1930921077728271
12,19,19,0.2776079177856445,19,0.1801409721374511,19,0.26358580589294434,19,0.3933107852935791
13,20,20,0.2580132484436035,20,0.1840128898620605,20,0.2658419609069824,20,0.544135332107544
14,21,21,0.3020710945129394,21,0.1835801601409912,21,0.28116798400878906,21,0.591947078704834
15,22,22,0.1839058399200439,22,0.1874890327453613,22,0.1929306983947754,22,0.1892509460449218
16,23,23,1.2919716835021973,23,1.0460920333862305,23,0.5995471477508545,23,2.617676019668579
17,24,24,0.4598770141601562,24,0.3294260501861572,24,0.4562039375305176,24,0.8674030303955078
18,25,25,0.7536990642547607,25,0.2690889835357666,25,0.551347017288208,25,0.996319055557251
19,26,26,1.335747003555298,26,1.9121649265289309,26,1.6704981327056885,26,2.4399218559265137
20,27,27,1.2937240600585938,27,1.3769781589508057,27,1.5679049491882324,27,1.0390021800994873
21,28,28,0.8976168632507324,28,0.4863128662109375,28,1.1984858512878418,28,2.2815911769866943
22,29,29,5.130207061767578,29,4.85694432258606,29,1.107696294784546,29,9.334371089935305
23,30,30,0.7273159027099609,30,1.1533854007720947,30,0.9821381568908691,30,0.9651591777801514
24,31,31,0.5186402797698975,31,1.042351007461548,31,0.5581908226013184,31,0.9125020503997804
25,32,32,10.460286140441896,32,15.609080076217651,32,145.3969521522522,32,21.64990186691284
26,33,33,1.526759147644043,33,4.671828985214233,33,3.356431245803833,33,5.604343891143799
27,34,34,0.7267251014709473,34,2.3821489810943604,34,0.9342141151428223,34,2.081465005874634
28,35,35,1.2392640113830566,35,2.7284867763519287,35,0.7542769908905029,35,2.280214071273804
29,36,36,1.2930529117584229,36,6.887981653213501,36,1.1375598907470703,36,4.447009086608887
30,37,37,5.628938913345337,37,170.47050523757937,37,59.209957122802734,37,45.690997838974
31,38,38,0.8716161251068115,38,1.3870799541473389,38,0.5048677921295166,38,1.0712976455688477
32,39,39,181.5286440849304,39,107.59888195991516,39,6.58657693862915,39,111.45194911956789
33,40,40,0.7540478706359863,40,2.4447031021118164,40,0.5905070304870605,40,2.622037887573242
34,40,40,2.815682888031006,40,2.6827638149261475,40,0.9891269207000732,40,1.091186285018921
35,40,40,0.7458319664001465,40,0.3338589668273926,40,0.6809608936309814,40,2.399953365325928
36,40,40,1.117500066757202,40,3.044424057006836,40,1.0115761756896973,40,7.833233118057251
37,60,60,6.582142353057861,60,28.99148917198181,60,3.8331961631774902,60,25.10451102256775
38,60,60,50.54297113418579,60,235.97165489196777,60,127.55701684951782,60,10.807415008544922
39,60,60,13.213340044021606,60,3.2361600399017334,60,17.448214769363403,60,7.241243839263916
40,90,DNF,TIMEOUT,DNF,TIMEOUT,DNF,TIMEOUT,DNF,TIMEOUT
