Instance,h_min,h_gecode,time_gecode,h_chuffed,time_chuffed
1,8,8,0.38123106956481934,8,0.16508698463439941
2,9,9,0.3271150588989258,9,0.16337370872497559
3,10,10,0.3286581039428711,10,0.16607999801635742
4,11,11,0.3158688545227051,11,0.1666581630706787
5,12,12,0.33379316329956055,12,0.16997575759887695
6,13,13,0.3229093551635742,13,0.16530609130859375
7,14,14,0.32375597953796387,14,0.1695091724395752
8,15,15,0.32999515533447266,15,0.1724390983581543
9,16,16,0.3356008529663086,16,0.17047810554504395
10,17,17,0.3242650032043457,17,0.17333698272705078
11,18,DNF,TIMEOUT,18,9.286595106124878
12,19,19,0.3355240821838379,19,0.18242192268371582
13,20,20,0.34450793266296387,20,0.18331408500671387
14,21,21,0.38565492630004883,21,0.1849501132965088
15,22,22,0.37711310386657715,22,0.18918704986572266
16,23,DNF,TIMEOUT,23,58.36156702041626
17,24,DNF,TIMEOUT,24,0.1996910572052002
18,25,DNF,TIMEOUT,25,0.2015061378479004
19,26,DNF,TIMEOUT,26,1.0465269088745117
20,27,DNF,TIMEOUT,27,0.24225687980651855
21,28,DNF,TIMEOUT,28,6.0989768505096436
22,29,DNF,TIMEOUT,29,0.24338889122009277
23,30,DNF,TIMEOUT,30,4.768711805343628
24,31,DNF,TIMEOUT,31,0.26236391067504883
25,32,DNF,TIMEOUT,32,139.836590051651
26,33,DNF,TIMEOUT,33,0.22227787971496582
27,34,DNF,TIMEOUT,34,0.7699480056762695
28,35,DNF,TIMEOUT,35,0.21827197074890137
29,36,DNF,TIMEOUT,36,0.3172111511230469
30,37,DNF,TIMEOUT,DNF,TIMEOUT
31,38,DNF,TIMEOUT,38,165.4828863143921
32,39,DNF,TIMEOUT,DNF,TIMEOUT
33,40,DNF,TIMEOUT,DNF,TIMEOUT
34,40,DNF,TIMEOUT,DNF,TIMEOUT
35,40,DNF,TIMEOUT,DNF,TIMEOUT
36,40,DNF,TIMEOUT,DNF,TIMEOUT
37,60,DNF,TIMEOUT,DNF,TIMEOUT
38,60,DNF,TIMEOUT,DNF,TIMEOUT
39,60,DNF,TIMEOUT,DNF,TIMEOUT
40,90,DNF,TIMEOUT,DNF,TIMEOUT
