Instance,CP + SB w/out R,SAT + SB w/out R,SMT + SB w/out R,MIP + SB w/out R
1,0.16135907173156738,0.04306292533874512,0.03521585464477539,0.008456945419311523
2,0.16990208625793457,0.05141305923461914,0.038764238357543945,0.002499103546142578
3,0.17085599899291992,0.0773470401763916,0.054939985275268555,0.006791830062866211
4,0.16759681701660156,0.10834693908691406,0.06731200218200684,0.005207061767578125
5,0.1709439754486084,0.14818811416625977,0.09891510009765625,0.005923748016357422
6,0.17705607414245605,0.23129606246948242,0.1280670166015625,0.0030889511108398438
7,0.17517304420471191,0.21897506713867188,0.13922381401062012,0.06026482582092285
8,0.17785096168518066,0.2824411392211914,0.17524504661560059,0.016493797302246094
9,0.18349623680114746,0.3039839267730713,0.17049217224121094,0.030246734619140625
10,0.3373990058898926,0.4784231185913086,0.30248117446899414,0.02478504180908203
11,0.6175961494445801,1.4378948211669922,1.5775120258331299,0.3972291946411133
12,0.36238598823547363,0.8419830799102783,0.6566517353057861,0.1392829418182373
13,0.5878279209136963,0.8412818908691406,0.4615492820739746,0.16130781173706055
14,0.6835529804229736,0.935204267501831,1.661074161529541,0.3025858402252197
15,0.6855177879333496,1.096059799194336,2.382883071899414,0.23391509056091309
16,1.196291208267212,3.5876519680023193,8.945303916931152,12.36521577835083
17,0.8651840686798096,1.5534791946411133,4.642539978027344,0.6764791011810303
18,1.0788052082061768,1.9458250999450684,5.756345748901367,1.2827088832855225
19,13.892527103424072,23.483410835266113,15.208100080490112,35.83737301826477
20,1.2786459922790527,5.113074779510498,16.40584659576416,3.215472936630249
21,2.361104965209961,3.3599159717559814,15.128067970275879,49.28459811210632
22,5.136722087860107,18.805484771728516,60.91622304916382,8.202193021774292
23,3.185116767883301,2.7670609951019287,10.067718029022217,0.5383045673370361
24,1.2618029117584229,2.4516360759735107,8.809133052825928,0.9376189708709717
25,8.238937854766846,18.867812156677246,67.58015584945679,TIMEOUT
26,1.7773771286010742,4.170374870300293,36.76364803314209,28.96168088912964
27,1.6603538990020752,3.5933661460876465,11.876462936401367,2.2132651805877686
28,1.5987341403961182,14.21792197227478,23.96094012260437,4.619098901748657
29,1.7082679271697998,9.380532026290894,32.416563987731934,7.135977029800415
30,4.643172025680542,11.679179906845093,TIMEOUT,131.47073364257812
31,0.7628669738769531,3.808651924133301,9.88575291633606,2.7748520374298096
32,58.318455934524536,205.93686819076538,TIMEOUT,TIMEOUT
33,2.3081769943237305,6.848129034042358,15.29367709159851,0.7142369747161865
34,3.937803030014038,4.737066984176636,20.311925172805786,86.8967547416687
35,1.405155897140503,12.959272861480713,14.95165205001831,TIMEOUT
36,3.8345301151275635,3.938403844833374,13.876183032989502,26.28994607925415
37,55.954338788986206,12.963622093200684,159.292005777359,TIMEOUT
38,7.066401958465576,TIMEOUT,TIMEOUT,TIMEOUT
39,3.3593552112579346,10.559909105300903,TIMEOUT,TIMEOUT
40,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
