Instance,h_min,CP w/out SB + R,SAT + SB + R,SMT + SB + R,MIP + SB + R
1,8,8,8.0,8.0,8
2,9,9,9.0,9.0,9
3,10,10,10.0,10.0,10
4,11,11,11.0,11.0,11
5,12,12,12.0,12.0,12
6,13,13,13.0,13.0,13
7,14,14,14.0,14.0,14
8,15,15,15.0,15.0,15
9,16,16,16.0,16.0,16
10,17,17,17.0,17.0,17
11,18,18,18.0,18.0,18
12,19,19,19.0,19.0,19
13,20,20,20.0,20.0,20
14,21,21,21.0,21.0,21
15,22,22,22.0,22.0,22
16,23,23,23.0,23.0,23
17,24,24,24.0,24.0,24
18,25,25,25.0,25.0,26
19,26,26,26.0,26.0,27
20,27,27,27.0,N/A,28
21,28,28,28.0,28.0,29
22,29,29,29.0,29.0,30
23,30,30,30.0,30.0,31
24,31,31,31.0,31.0,31
25,32,33,N/A,N/A,33
26,33,33,33.0,33.0,33
27,34,34,34.0,34.0,34
28,35,35,35.0,35.0,35
29,36,36,36.0,36.0,36
30,37,38,37.0,N/A,38
31,38,38,38.0,38.0,38
32,39,39,N/A,N/A,40
33,40,40,40.0,40.0,40
34,40,40,40.0,N/A,40
35,40,40,40.0,N/A,40
36,40,40,40.0,N/A,40
37,60,60,N/A,N/A,61
38,60,60,60.0,N/A,61
39,60,60,60.0,N/A,61
40,90,91,N/A,N/A,100
